2023-09-26 23:40:46 - PHP Notice:  Undefined index: simple_settings in /var/www/html/oc38/admin/controller/extension/module/simple.php on line 1267
2023-09-27 0:03:45 - PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /var/www/html/oc38/system/library/simple/simple.php on line 1364
2023-09-27 0:03:45 - PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /var/www/html/oc38/system/library/simple/simple.php on line 1392
2023-09-27 0:03:45 - PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /var/www/html/oc38/system/library/simple/simple.php on line 1411
2023-09-27 0:04:43 - PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /var/www/html/oc38/system/library/simple/simple.php on line 1364
2023-09-27 0:04:43 - PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /var/www/html/oc38/system/library/simple/simple.php on line 1392
2023-09-27 0:04:43 - PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /var/www/html/oc38/system/library/simple/simple.php on line 1411
2023-09-27 0:12:59 - PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /var/www/html/oc38/system/library/simple/simple.php on line 1364
2023-09-27 0:12:59 - PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /var/www/html/oc38/system/library/simple/simple.php on line 1392
2023-09-27 0:12:59 - PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /var/www/html/oc38/system/library/simple/simple.php on line 1411
2023-09-27 0:19:51 - PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /var/www/html/oc38/system/library/simple/simple.php on line 1364
2023-09-27 0:19:51 - PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /var/www/html/oc38/system/library/simple/simple.php on line 1392
2023-09-27 0:20:01 - PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /var/www/html/oc38/system/library/simple/simple.php on line 1364
2023-09-27 0:41:29 - PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /var/www/html/oc38/system/library/simple/simple.php on line 1364
2023-09-27 0:41:29 - PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /var/www/html/oc38/system/library/simple/simple.php on line 1392
2023-09-27 0:41:29 - PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /var/www/html/oc38/system/library/simple/simple.php on line 1411
2023-09-27 0:45:10 - PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /var/www/html/oc38/system/library/simple/simple.php on line 1364
2023-09-27 0:45:10 - PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /var/www/html/oc38/system/library/simple/simple.php on line 1392
2023-09-27 0:45:10 - PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /var/www/html/oc38/system/library/simple/simple.php on line 1411
2023-09-29 1:22:08 - PHP Notice:  Undefined property: Proxy::$options in /var/www/html/oc38/system/engine/proxy.php on line 20
2023-09-29 1:22:08 - PHP Warning:  Invalid argument supplied for foreach() in /var/www/html/oc38/admin/controller/extension/shipping/qweqr.php on line 87
2023-09-29 1:24:53 - PHP Notice:  Undefined property: Proxy::$options in /var/www/html/oc38/system/engine/proxy.php on line 20
2023-09-29 1:24:53 - PHP Warning:  Invalid argument supplied for foreach() in /var/www/html/oc38/admin/controller/extension/shipping/qweqr.php on line 87
2023-09-29 1:25:55 - PHP Notice:  Undefined property: Proxy::$options in /var/www/html/oc38/system/engine/proxy.php on line 20
2023-09-29 1:25:55 - PHP Warning:  Invalid argument supplied for foreach() in /var/www/html/oc38/admin/controller/extension/shipping/qweqr.php on line 89
2023-10-03 3:44:30 - PHP Notice:  Undefined index: phone in /var/www/html/oc38/admin/controller/extension/shipping/qweqr.php on line 169
2023-10-05 3:14:05 - PHP Notice:  Trying to access array offset on value of type int in /var/www/html/oc38/catalog/model/extension/shipping/qweqr.php on line 110
2023-10-05 3:14:05 - PHP Notice:  Trying to access array offset on value of type null in /var/www/html/oc38/catalog/model/extension/shipping/qweqr.php on line 110
2023-10-05 3:54:19 - PHP Notice:  Undefined offset: 0 in /var/www/html/oc38/system/library/cart/currency.php on line 25
2023-10-05 3:54:19 - PHP Notice:  Trying to access array offset on value of type null in /var/www/html/oc38/system/library/cart/currency.php on line 25
2023-10-05 3:54:19 - PHP Notice:  Undefined offset: 0 in /var/www/html/oc38/system/library/cart/currency.php on line 26
2023-10-05 3:54:19 - PHP Notice:  Trying to access array offset on value of type null in /var/www/html/oc38/system/library/cart/currency.php on line 26
2023-10-05 3:54:19 - PHP Notice:  Undefined offset: 0 in /var/www/html/oc38/system/library/cart/currency.php on line 27
2023-10-05 3:54:19 - PHP Notice:  Trying to access array offset on value of type null in /var/www/html/oc38/system/library/cart/currency.php on line 27
2023-10-05 3:57:13 - PHP Notice:  Undefined offset: 0 in /var/www/html/oc38/system/library/cart/currency.php on line 25
2023-10-05 3:57:13 - PHP Notice:  Trying to access array offset on value of type null in /var/www/html/oc38/system/library/cart/currency.php on line 25
2023-10-05 3:57:13 - PHP Notice:  Undefined offset: 0 in /var/www/html/oc38/system/library/cart/currency.php on line 26
2023-10-05 3:57:13 - PHP Notice:  Trying to access array offset on value of type null in /var/www/html/oc38/system/library/cart/currency.php on line 26
2023-10-05 3:57:13 - PHP Notice:  Undefined offset: 0 in /var/www/html/oc38/system/library/cart/currency.php on line 27
2023-10-05 3:57:13 - PHP Notice:  Trying to access array offset on value of type null in /var/www/html/oc38/system/library/cart/currency.php on line 27
2023-10-05 3:58:39 - PHP Notice:  Undefined offset: 0 in /var/www/html/oc38/system/library/cart/currency.php on line 25
2023-10-05 3:58:39 - PHP Notice:  Trying to access array offset on value of type null in /var/www/html/oc38/system/library/cart/currency.php on line 25
2023-10-05 3:58:39 - PHP Notice:  Undefined offset: 0 in /var/www/html/oc38/system/library/cart/currency.php on line 26
2023-10-05 3:58:39 - PHP Notice:  Trying to access array offset on value of type null in /var/www/html/oc38/system/library/cart/currency.php on line 26
2023-10-05 3:58:39 - PHP Notice:  Undefined offset: 0 in /var/www/html/oc38/system/library/cart/currency.php on line 27
2023-10-05 3:58:39 - PHP Notice:  Trying to access array offset on value of type null in /var/www/html/oc38/system/library/cart/currency.php on line 27
2023-10-05 4:01:45 - PHP Notice:  Undefined offset: 0 in /var/www/html/oc38/system/library/cart/currency.php on line 25
2023-10-05 4:01:45 - PHP Notice:  Trying to access array offset on value of type null in /var/www/html/oc38/system/library/cart/currency.php on line 25
2023-10-05 4:01:45 - PHP Notice:  Undefined offset: 0 in /var/www/html/oc38/system/library/cart/currency.php on line 26
2023-10-05 4:01:45 - PHP Notice:  Trying to access array offset on value of type null in /var/www/html/oc38/system/library/cart/currency.php on line 26
2023-10-05 4:01:45 - PHP Notice:  Undefined offset: 0 in /var/www/html/oc38/system/library/cart/currency.php on line 27
2023-10-05 4:01:45 - PHP Notice:  Trying to access array offset on value of type null in /var/www/html/oc38/system/library/cart/currency.php on line 27
2023-10-05 8:04:24 - PHP Notice:  Undefined index: input in /var/www/html/oc38/admin/controller/extension/shipping/qweqr.php on line 181
2023-10-05 8:08:40 - PHP Notice:  Undefined index: input in /var/www/html/oc38/admin/controller/extension/shipping/qweqr.php on line 181
2023-10-05 8:31:16 - PHP Notice:  Trying to access array offset on value of type null in /var/www/html/oc38/admin/controller/extension/shipping/qweqr.php on line 190
2023-10-05 8:31:16 - PHP Notice:  Array to string conversion in /var/www/html/oc38/system/library/response.php on line 118
2023-10-05 8:34:44 - PHP Notice:  Array to string conversion in /var/www/html/oc38/system/library/response.php on line 118
2023-10-05 11:13:08 - PHP Notice:  Undefined index: iso_code_2 in /var/www/html/oc38/catalog/model/extension/shipping/qweqr.php on line 42
2023-10-05 11:13:51 - PHP Notice:  Undefined index: iso_code_2 in xdebug://debug-eval on line 1
2023-10-05 11:31:35 - PHP Warning:  Use of undefined constant ar - assumed 'ar' (this will throw an Error in a future version of PHP) in xdebug://debug-eval on line 1
2023-10-05 11:44:36 - PHP Notice:  Undefined variable: params in /var/www/html/oc38/catalog/model/extension/shipping/qweqr.php on line 35
2023-10-05 11:44:36 - PHP Notice:  Undefined variable: info_client in /var/www/html/oc38/catalog/model/extension/shipping/qweqr.php on line 36
2023-10-05 11:44:36 - PHP Notice:  Trying to access array offset on value of type null in /var/www/html/oc38/catalog/model/extension/shipping/qweqr.php on line 36
2023-10-05 11:44:36 - PHP Notice:  Trying to access array offset on value of type null in /var/www/html/oc38/catalog/model/extension/shipping/qweqr.php on line 36
